Date,Open,High,Low,Close,Adj Close,Volume
2011-09-12,80.555557,81.811111,79.333336,81.222221,43.170902,4550926
2011-09-13,81.333336,81.722221,79.900002,80.522224,42.798843,3885633
2011-09-14,80.911110,81.755554,80.255554,81.566666,43.353977,2857230
2011-09-15,81.666664,84.177780,81.666664,83.944443,44.617794,2459479
2011-09-16,85.555557,86.444443,81.777779,83.355553,44.304794,6827098
2011-09-19,83.777779,83.955559,81.555557,82.055557,43.613827,2487051
2011-09-20,82.144447,82.333336,81.366669,82.088890,43.631542,1222992
2011-09-21,85.300003,85.300003,81.677780,82.255554,43.720139,3067600
2011-09-22,82.255554,83.555557,82.211113,82.966667,44.098106,2621475
2011-09-23,82.222221,84.088890,82.033333,82.599998,43.903221,2491443
2011-09-26,83.000000,83.111115,80.677780,82.244446,43.714230,1528677
2011-09-27,82.666664,82.877777,80.988892,81.777779,43.466183,2071777
2011-09-28,81.933334,82.177780,79.666664,80.011108,42.527164,2230285
2011-09-29,80.755554,82.333336,79.188889,81.400002,43.265396,4405909
2011-09-30,81.155556,82.099998,80.488892,81.455559,43.294914,852475
2011-10-03,81.788887,84.666664,81.388885,83.988892,44.641430,4134460
2011-10-04,84.644447,85.666664,82.688889,83.699997,44.487869,2841993
2011-10-05,83.833336,84.377777,81.744446,82.444443,43.820541,1840576
2011-10-07,81.111115,82.111115,81.111115,81.744446,43.448483,1907874
2011-10-10,81.433334,81.933334,80.577774,81.677780,43.413040,4866592
2011-10-11,81.544441,82.000000,79.644447,80.022224,42.533085,4695898
2011-10-12,80.222221,80.422218,79.211113,79.933334,42.485836,3239032
2011-10-13,70.099998,80.544441,70.099998,77.722221,41.310593,3177990
2011-10-14,77.355553,78.400002,77.000000,77.522224,41.204288,5813856
2011-10-17,77.666664,79.777779,74.788887,74.977776,39.851879,5800702
2011-10-18,75.111115,76.366669,75.111115,76.233330,40.519222,3557457
2011-10-19,76.833336,76.888885,75.566666,76.666664,40.749546,2805561
2011-10-20,76.099998,76.666664,74.933334,75.722221,40.247562,3226338
2011-10-21,75.544441,76.733330,75.544441,76.211113,40.507420,2607025
2011-10-24,76.633331,76.666664,75.244446,75.633331,40.200317,4343161
2011-10-25,75.144447,76.699997,74.477776,75.822220,40.300709,2540029
2011-10-28,76.666664,77.311111,74.577774,75.133331,39.934555,6840180
2011-10-31,75.555557,75.833336,73.533333,74.033333,39.349892,3519612
2011-11-01,73.777779,75.699997,72.566666,74.577774,39.639271,10464174
2011-11-02,74.666664,75.988892,74.577774,75.477776,40.117638,3826462
2011-11-03,75.888885,76.166664,74.355553,75.655556,40.212128,3793959
2011-11-04,76.644447,77.511108,75.111115,75.477776,40.117638,3238074
2011-11-08,75.088890,75.122223,73.188889,73.855553,39.255398,4147816
